y,x1,x2,x3,x4,x5,x6,x7
0,2.97364,20.736331,Wednesday,1.290631,102.087809,California,mercedes
0,5.425648,18.757789,Thur,0.705725,102.389526,Ohio,ford
1,5.69499,18.87697,Wed,-1.541356,92.012794,Illinois,subaru
0,6.586985,17.10094,Thursday,-1.409514,94.383879,Massachusetts,ford
0,2.273941,18.585367,Thursday,0.444391,81.530904,Texas,nissan
0,1.765733,18.745721,Wednesday,1.258283,,,ford
0,6.592592,17.718629,Thur,-0.534116,99.43839,,chevrolet
1,0.456673,20.94476,Fri,-1.705155,94.4401,Texas,ford
0,2.670966,19.258592,Sun,0.690808,126.524277,Georgia,toyota
0,4.394326,20.418499,Mon,-1.278253,73.234707,,chevrolet
0,5.486402,18.403093,Sunday,-0.191219,86.684186,West Virginia,
0,0.961106,16.79411,Wed,0.461631,95.499991,Massachusetts,ford
0,0.2429,21.475255,Monday,-1.198564,,,toyota
0,2.498822,19.968397,Tue,1.125214,,,subaru
0,5.935874,20.116509,Wed,2.630818,100.554998,Connecticut,
0,2.677583,20.783038,Wednesday,-0.474659,97.276448,Virginia,mercedes
0,4.478392,20.724636,Sat,1.258017,111.050888,North Carolina,
0,6.675002,19.722674,Friday,0.240598,103.150425,Florida,ford
1,1.990833,20.373637,Wednesday,-1.116635,74.287454,Georgia,chevrolet
0,3.757754,19.559304,Friday,-3.14715,94.54042,,chevrolet
0,4.972381,20.395155,Thursday,,88.869018,Montana,
0,3.95145,17.937863,Mon,-2.114089,101.091385,,toyota
0,7.026508,22.831117,Friday,-0.618178,115.15723,New Mexico,toyota
0,3.627988,21.761681,Thursday,-0.840017,103.265852,Virginia,toyota
0,5.892822,19.806791,Saturday,2.030562,108.976936,Minnesota,mercedes
0,2.081195,19.092557,Saturday,-0.041287,87.124076,,chevrolet
0,2.896966,20.201173,Tue,1.367674,97.772468,Iowa,
0,3.504969,21.120277,Wednesday,-1.004802,94.561732,New Hampshire,
0,5.151681,22.00371,Fri,,112.519672,Illinois,chevrolet
1,6.31185,18.950176,Fri,1.110991,121.963429,Montana,chevrolet
0,-0.414235,20.981128,Tuesday,-0.072983,76.452479,,toyota
1,4.075107,18.426921,Sunday,2.618997,72.39443,Michigan,ford
1,2.370675,19.647029,Mon,1.098609,83.685817,DC,subaru
1,4.303029,20.450221,Friday,0.162674,98.621844,Washington,chevrolet
0,0.96392,21.761427,Saturday,-2.47464,,California,mercedes
0,0.874728,18.183218,Wednesday,1.209884,103.01495,Virginia,toyota
0,1.102054,23.221542,Thur,-2.680243,99.339296,Massachusetts,
0,1.602546,18.650761,Wednesday,-0.183122,92.583683,California,ford
0,1.958057,22.419712,Thursday,-2.860711,96.493747,Louisiana,ford
0,3.83577,16.598362,Tue,1.540131,,Kentucky,chevrolet
0,-0.414869,20.834105,Wed,1.561384,72.632423,Utah,ford
0,4.009236,19.726885,Fri,-0.576123,83.567594,Arizona,subaru
0,2.025248,18.627776,Mon,2.744949,77.620237,California,chevrolet
0,1.203331,21.035484,Tuesday,-0.320897,77.614006,California,ford
1,2.465095,19.456335,Thur,1.433507,116.046097,Pennsylvania,ford
0,3.142934,21.038444,Friday,-0.529327,,California,nissan
0,4.928816,20.607377,Tue,1.610772,,Missouri,ford
0,0.026176,21.680539,Saturday,-0.618641,88.256409,Oregon,subaru
1,4.058276,22.038578,Mon,-0.288961,114.758249,Ohio,toyota
0,4.57944,18.823543,Sat,3.791643,119.05892,Massachusetts,subaru
1,5.675924,20.029927,Saturday,-0.436943,,Texas,mercedes
0,6.743135,17.904705,Mon,0.244607,80.616425,,
0,0.118702,20.948627,Sunday,0.646644,106.522573,,
1,1.958544,19.567808,Sunday,0.290443,104.944081,,
0,7.804833,17.592864,Saturday,,92.309214,West Virginia,chevrolet
0,2.749952,19.750243,Wednesday,1.20898,98.202456,,toyota
0,6.765212,19.107398,Tuesday,0.270122,,Texas,chevrolet
0,6.32577,19.176991,Sunday,-0.642831,,,ford
0,4.885605,22.484428,Wed,-0.714915,106.958084,Nebraska,ford
0,2.598195,19.980063,Tuesday,-0.139406,107.964142,,
0,2.750268,23.228733,Wednesday,0.002377,120.826338,Florida,
0,3.548579,22.460803,Friday,-1.094537,,Minnesota,mercedes
0,2.784847,19.133697,Friday,-1.117338,109.16036,Utah,ford
0,2.866345,22.156252,Sunday,1.284174,96.46712,Oklahoma,ford
0,1.452499,22.321984,Tuesday,0.619806,106.271298,California,
0,5.49129,18.059272,Saturday,2.234598,98.169519,,toyota
0,-0.35176,20.163859,Friday,-0.595341,101.207667,Nevada,
1,2.629661,17.721703,Thursday,1.266259,65.966537,,mercedes
1,1.356172,23.283112,Friday,-0.210959,104.98223,Florida,subaru
1,3.644456,19.012631,Tuesday,-1.788016,104.952541,Illinois,ford
0,2.709616,24.267941,Tue,-2.402859,116.990609,California,
0,1.961721,23.81759,Sunday,-1.027849,135.711578,Pennsylvania,
0,6.229927,21.834237,Friday,0.01511,120.33198,Utah,mercedes
1,2.738208,19.838846,Saturday,,125.362235,Washington,
0,6.47158,22.032664,Wednesday,-1.26128,80.408858,North Carolina,
1,3.563345,21.839516,Wednesday,,82.553061,Pennsylvania,ford
0,1.16116,19.387412,Tuesday,-0.328877,76.817108,,
0,1.703985,20.125059,Friday,2.055847,103.499893,New York,subaru
0,1.740468,20.532574,Sunday,1.756993,93.18142,Florida,nissan
0,1.382491,20.186078,Thursday,-0.359882,119.641757,Florida,ford
0,1.252231,16.558218,Tuesday,1.806858,118.470644,Nevada,
0,0.966944,24.399854,Sunday,0.159765,94.885147,,ford
0,3.536607,20.301743,Thur,1.254395,106.418389,California,mercedes
0,1.25,20.007211,Tuesday,0.0114110000000001,,Wisconsin,ford
0,-0.135205,21.345792,Tuesday,0.0411279999999999,105.924613,Wisconsin,ford
0,0.645891,20.932312,Tue,-1.275141,104.112183,California,chevrolet
0,4.31646,20.05872,Wednesday,1.852617,,Pennsylvania,chevrolet
0,5.186105,19.422956,Thur,1.861338,108.692864,Wisconsin,ford
0,1.500089,19.049162,Wednesday,0.0421959999999999,115.636569,New York,ford
0,2.360956,21.077152,Thur,0.520344,108.879092,Virginia,
0,7.91193,19.404962,Sunday,0.231482,98.430795,Virginia,buick
0,4.807186,15.85725,Monday,-0.104471,95.340633,Tennessee,
0,2.702411,18.695396,Sat,-0.827756,87.133036,,ford
0,3.498169,18.999939,Wednesday,-0.339072,101.131722,Texas,ford
0,2.166389,19.706418,Wed,-0.450591,76.962963,Pennsylvania,
0,2.173765,19.135877,Thursday,-0.0040179999999999,104.816772,Massachusetts,chevrolet
0,2.395986,21.261144,Monday,0.032711,100.20373,Nevada,mercedes
0,5.257508,19.679271,Monday,-2.417119,111.549611,Pennsylvania,mercedes
0,4.205143,19.845363,Thursday,-0.089216,105.845585,New Jersey,
0,3.047838,19.718032,Tuesday,-1.90841,127.976123,California,mercedes
0,2.196198,20.968893,Saturday,-0.259088,84.534221,Indiana,ford
0,2.321153,18.357065,Sat,0.426475,107.968041,Michigan,nissan
0,3.819266,21.609591,Wednesday,-0.90281,,Georgia,subaru
0,2.538643,19.135547,Monday,2.567421,98.493567,Tennessee,ford
0,2.487086,19.789294,Tue,0.244412,105.827891,Minnesota,
0,3.49816,20.714313,Saturday,1.328224,97.088407,New York,chevrolet
0,0.747903,18.776478,Mon,0.577516,103.620604,New York,ford
0,1.963095,20.402663,Wednesday,0.011692,89.941152,,
0,3.359444,20.779921,Thursday,-0.404478,100.353868,Vermont,toyota
0,0.387718,20.90966,Wednesday,0.537484,,California,subaru
0,1.667668,21.443769,Tuesday,1.490827,115.874911,Minnesota,
0,4.309275,20.214421,Saturday,-0.006725,107.418639,New Jersey,toyota
0,3.669124,20.032712,Monday,0.50909,110.722847,North Carolina,chevrolet
1,3.366648,19.455274,Saturday,-1.27279,127.153582,Arizona,chevrolet
0,0.638941,19.454387,Tuesday,0.278433,88.632051,West Virginia,
0,0.752778,20.01028,Mon,-0.964765,124.584198,North Dakota,toyota
0,5.795323,20.001535,Wednesday,1.139258,87.634102,Louisiana,subaru
0,2.00659,20.442217,Tue,0.067824,115.830768,Texas,nissan
0,1.786029,22.862167,Friday,-0.538098,125.536389,Texas,ford
1,6.505423,19.659062,Friday,0.872485,95.322626,Pennsylvania,toyota
0,3.856529,17.441179,Thursday,0.067559,84.450374,Missouri,toyota
0,-0.309302,21.576663,Wednesday,,,,mercedes
0,0.176097,18.635517,Thur,1.164354,93.368092,,ford
0,-0.006,19.669684,Friday,-0.0376939999999999,110.501468,California,ford
0,5.078948,21.139046,Thursday,0.0038489999999999,114.817035,Texas,chevrolet
0,4.186092,20.143663,Saturday,0.221376,101.147561,Tennessee,ford
0,4.354222,19.293857,Friday,1.089673,,Utah,chevrolet
0,0.961904,19.940189,Mon,2.432821,92.929611,DC,chevrolet
0,2.687259,22.543639,Tuesday,,97.541974,Arizona,
0,4.499861,19.884245,Sunday,-0.761343,99.995424,Pennsylvania,mercedes
1,2.044254,20.874253,Friday,-0.490695,103.361842,Missouri,toyota
0,1.67311,18.268151,Thursday,-1.362882,,,
0,4.115698,19.954817,Monday,1.387474,101.567011,Texas,toyota
0,4.631129,19.231548,Thursday,0.899577,93.855423,,toyota
0,3.210725,18.447031,Wednesday,-0.171999,86.336367,California,ford
0,3.250945,19.004859,Sunday,-0.9277,95.774156,Georgia,mercedes
0,3.942135,18.517619,Tuesday,0.245522,102.612658,,chevrolet
0,1.32984,21.247396,Saturday,-0.417284,91.943173,Illinois,subaru
0,4.209629,18.839864,Sunday,,82.081645,Illinois,toyota
0,2.26226,24.635616,Friday,-1.961579,115.025754,,ford
0,2.535526,20.436099,Fri,-0.186035,91.528456,Iowa,ford
0,3.193515,19.438313,Wed,-0.286054,85.4861,New Hampshire,nissan
1,3.376224,17.650968,Monday,-0.059058,,Alabama,ford
0,-0.159522,21.261815,Monday,0.133516,95.463102,Washington,ford
0,1.513286,20.982978,Thursday,-1.042659,88.82485,New Jersey,ford
0,3.676385,17.852878,Monday,-1.605222,122.231045,,
0,-0.137538,20.537631,Wed,0.316614,87.997352,Illinois,chevrolet
0,-0.430752,19.59324,Saturday,0.329021,117.581223,California,
0,-0.161158,20.801327,Tue,1.4141,120.83257,Michigan,chevrolet
0,4.997586,18.602895,Thursday,-0.504318,89.805749,,subaru
0,3.283057,21.139827,Tuesday,-0.730361,,,
0,3.924072,18.668931,Tue,0.753591,88.750506,Arkansas,
0,5.939338,18.760177,Friday,,91.169558,Illinois,
1,3.123172,16.391208,Wednesday,0.543443,112.632945,Florida,mercedes
0,2.61048,20.592445,Tuesday,-0.217448,119.84587,Michigan,
0,1.167466,20.535082,Saturday,-0.827157,83.171946,Maryland,ford
0,-0.637521,19.491525,Tuesday,1.12218,107.246965,,chevrolet
0,1.773063,17.477337,Thursday,1.583814,86.470303,Kentucky,
0,0.900159,18.382773,Monday,-1.598559,118.447376,Georgia,ford
0,4.320788,21.765571,Mon,-1.729434,,Oklahoma,subaru
0,5.253584,21.816687,Tuesday,1.634616,98.390004,Tennessee,toyota
0,3.932576,21.569048,Fri,-1.322747,115.581575,Maryland,ford
1,2.380105,20.880181,Saturday,-1.321046,104.758169,Washington,toyota
1,2.960848,18.637927,Wed,0.340643,,,mercedes
0,2.07284,18.859023,Thursday,-0.152294,92.748973,,mercedes
0,0.570872,23.748778,Thur,-1.586647,95.728192,,nissan
0,3.135418,17.910117,Thursday,1.048459,99.945573,New Jersey,subaru
0,0.91192,20.511221,Tuesday,0.88584,96.458018,North Carolina,chevrolet
0,3.106482,19.071978,Thur,0.358019,,Virginia,
0,7.279484,18.438192,Saturday,1.350113,85.811945,Massachusetts,chevrolet
0,0.383406,20.47303,Wednesday,0.143155,119.629652,Alabama,toyota
1,0.811942,19.66761,Friday,0.986368,,Colorado,
1,3.211756,18.493345,Tuesday,,114.654515,Utah,subaru
0,5.290257,18.563752,Fri,-1.072497,103.934606,,buick
0,2.796409,20.544892,Sat,0.729278,95.362847,Michigan,ford
0,-1.132659,20.492392,Thursday,1.778019,94.332351,Utah,toyota
0,1.612271,19.92581,Wednesday,2.127767,93.467418,Ohio,ford
0,7.049948,20.769708,Thursday,1.067849,103.244268,,toyota
0,5.185044,20.285623,Saturday,-2.693261,124.046356,Florida,ford
0,4.872455,21.801046,Wednesday,,88.522346,Maine,subaru
0,3.470662,19.970039,Wed,1.213724,120.939017,Pennsylvania,
1,-0.257551,17.427394,Mon,1.613096,102.588612,Louisiana,ford
0,2.592315,17.757863,Friday,-0.253073,93.945587,,chevrolet
0,2.449475,24.468487,Mon,0.227725,79.401851,Colorado,chevrolet
0,5.833488,20.489732,Monday,-1.040679,94.75978,Tennessee,subaru
0,3.892393,19.093322,Tuesday,0.037057,,Massachusetts,chevrolet
0,5.040057,17.429184,Sunday,0.180924,116.007309,,
0,1.188892,19.538654,Wednesday,0.244096,100.406628,,buick
0,2.885165,20.499744,Wed,-1.080294,95.940292,Illinois,toyota
0,6.28264,20.948466,Wed,-0.152741,89.589486,,
1,5.983345,21.195813,Saturday,0.356603,,New York,
0,2.87177,20.776359,Tuesday,1.168041,109.501219,Ohio,chevrolet
0,1.793742,21.819228,Saturday,-0.483383,100.925004,California,chevrolet
0,0.291288,17.528083,Monday,1.985356,83.732957,Florida,
0,2.789361,20.666129,Thur,0.713988,106.74263,Michigan,
1,0.676636,21.157916,Saturday,1.278075,103.132243,Tennessee,
0,3.893182,18.244375,Wednesday,1.511191,,Louisiana,ford
0,2.738952,18.78778,Monday,0.729329,122.754729,Alaska,subaru
0,2.417898,20.977274,Friday,-0.129607,101.272836,California,nissan
0,2.658787,20.286332,Tue,-1.926417,100.530126,,mercedes
1,4.371723,20.855692,Wed,,102.324818,Nebraska,
0,4.205474,21.272276,Tuesday,,83.784999,New Jersey,mercedes
0,5.002615,19.364684,Friday,-0.0755539999999999,67.592353,,subaru
0,1.736366,21.480317,Sunday,1.313986,,Idaho,subaru
0,2.382419,23.867228,Monday,-1.647379,98.944151,North Dakota,chevrolet
0,4.289826,22.104572,Wednesday,-2.087684,90.425934,New York,
1,2.619103,21.690895,Friday,,105.738228,North Carolina,chevrolet
0,2.572791,19.640606,Sat,0.259219,113.661351,Arizona,ford
0,3.689298,22.252945,Tuesday,0.47384,100.35998,,ford
0,2.982245,23.524685,Wednesday,,112.285957,Texas,ford
0,4.673348,20.622986,Wednesday,-1.554246,91.654868,California,ford
0,2.797467,21.206283,Tue,0.272723,,Virginia,ford
0,2.554628,17.720179,Wednesday,0.444774,107.282445,Pennsylvania,subaru
0,1.153374,18.677609,Wed,-0.357122,101.800718,Michigan,mercedes
0,0.087508,24.001126,Saturday,-0.960263,70.921872,Florida,chevrolet
0,2.891088,21.527082,Wednesday,1.96355,103.823283,,chevrolet
0,1.282743,21.101723,Tuesday,-0.92362,,,buick
0,0.779356,21.348109,Monday,0.108999,90.167852,Tennessee,
0,7.106534,18.454502,Saturday,-2.098028,85.336224,North Carolina,ford
0,6.706191,18.387212,Wed,0.95976,94.016656,California,ford
0,4.021624,18.264772,Wednesday,-1.161195,106.893565,Pennsylvania,mercedes
0,2.34322,16.438824,Monday,-0.276935,95.976699,,chevrolet
0,5.591548,18.862893,Tuesday,1.754516,,Ohio,mercedes
0,1.42444,19.206203,Tuesday,0.262815,106.486597,Kentucky,ford
0,5.215914,18.822669,Wednesday,0.268975,87.673795,California,toyota
0,2.87117,18.477117,Saturday,2.129775,100.237854,,
0,1.997021,19.025779,Friday,0.194339,79.411995,Michigan,
0,4.951158,17.228295,Thursday,-0.342947,94.220943,Ohio,
0,5.729431,17.502683,Wednesday,-2.571439,132.699653,Kentucky,toyota
0,1.636611,20.721307,Friday,2.231275,,New Hampshire,chevrolet
0,-1.026469,21.878022,Wednesday,0.66493,,Connecticut,
0,0.729195,18.026162,Sun,1.005224,75.167804,,chevrolet
0,2.902935,18.749313,Wednesday,-1.447694,,New York,ford
0,0.651279,18.318754,Friday,-0.052795,104.594366,Tennessee,toyota
0,2.595327,18.099774,Thur,-0.319895,95.328244,New Mexico,buick
0,5.616871,17.652778,Monday,-1.012124,89.682205,Alaska,nissan
0,2.409131,20.698391,Friday,-0.298523,104.165531,Vermont,toyota
0,3.947744,20.061658,Sat,2.243869,,,chevrolet
0,0.152031,18.898008,Saturday,0.320337,106.424678,California,ford
0,6.529342,19.46238,Tue,0.117137,89.61078,Michigan,toyota
0,1.046219,21.677082,Wednesday,-1.379183,99.341954,New York,ford
1,5.159529,17.186062,Sunday,0.926796,,Alabama,buick
0,3.419767,20.922938,Saturday,0.31101,89.913048,Oregon,mercedes
0,3.876676,20.081278,Tuesday,-1.233489,91.797339,Indiana,ford
0,-1.748591,18.674844,Saturday,-1.880439,83.88661,Pennsylvania,ford
0,2.844196,22.096644,Wednesday,-1.073599,81.505452,Illinois,chevrolet
0,1.017873,18.599508,Mon,1.632355,97.118035,Oklahoma,ford
0,2.177327,16.906046,Mon,0.557087,100.102758,,chevrolet
1,5.503946,20.86121,Tuesday,-1.321653,98.956087,Ohio,
0,1.559987,17.48988,Wed,1.729303,87.449304,California,
0,0.309349,18.6264,Tuesday,0.062376,77.314488,Montana,
1,3.748758,19.904539,Friday,1.534449,,,subaru
0,2.688727,19.905491,Thursday,1.949224,112.777822,,chevrolet
1,4.10295,20.314005,Wed,,,Texas,ford
0,1.254618,18.367984,Tue,0.192348,114.416551,Alabama,ford
0,3.74511,21.517706,Wednesday,-3.853129,117.732195,Ohio,chevrolet
1,3.814862,18.634058,Wed,0.020609,89.434874,Idaho,mercedes
1,6.553497,17.409009,Saturday,-0.809398,116.96141,,mercedes
0,3.571204,21.823653,Thursday,0.541503,91.843781,Minnesota,nissan
0,-0.756283,23.079375,Monday,1.405055,95.135481,DC,
0,5.266697,20.673739,Thur,2.082073,61.433548,Tennessee,
1,-0.223927,21.004071,Tue,2.681724,114.116829,DC,chevrolet
1,5.167484,19.964463,Monday,-0.083126,117.759067,Florida,chevrolet
0,4.402625,18.987502,Thursday,-0.054916,,Massachusetts,subaru
0,0.739945,21.605802,Monday,-0.142724,96.549502,Illinois,
0,2.465119,19.285868,Mon,-0.291383,94.357772,Vermont,chevrolet
0,2.408286,19.910243,Thursday,-1.297632,113.158914,Montana,chevrolet
0,2.821742,18.687996,Tuesday,0.873179,89.826595,Minnesota,toyota
0,2.006342,19.623111,Sat,-0.276499,114.644569,,mercedes
0,1.963219,19.136169,Mon,-0.30759,100.084861,California,nissan
1,1.322311,20.830342,Thur,,108.542728,,toyota
0,2.841069,20.106821,Thursday,2.581819,,,ford
0,4.176018,20.756207,Sunday,-0.778301,95.967926,Minnesota,
0,-0.666335,18.044306,Mon,-2.59566,88.014906,,
0,3.86064,16.733964,Tuesday,0.952764,126.199402,,
1,3.776055,21.511898,Mon,0.824658,109.742859,Florida,
0,4.269649,17.240054,Wed,0.213133,,New Jersey,subaru
1,0.134559,22.033418,Saturday,,91.383875,Idaho,chevrolet
0,2.142209,17.301527,Sunday,0.739556,124.857497,Wyoming,nissan
0,1.123549,20.502433,Sun,-0.054958,95.65739,California,chevrolet
0,3.769876,19.545932,Sat,0.40195,105.368209,Illinois,
0,2.661908,21.141889,Tue,-1.193971,107.317789,California,ford
1,3.071092,20.692151,Monday,-0.442274,92.812722,California,chevrolet
0,1.081487,20.713854,Tuesday,0.324267,120.056285,Wyoming,ford
0,2.0884,20.292122,Monday,-1.240609,111.437877,New Jersey,
0,1.514564,20.983198,Sunday,0.242209,,California,
0,0.633372,20.913068,Monday,-1.132045,81.384939,,
0,1.843145,20.815121,Sunday,1.200962,107.36571,Illinois,mercedes
0,2.730125,20.320469,Sunday,,96.713734,Florida,mercedes
0,2.767975,18.515011,Sunday,-0.420197,97.269663,Rhode Island,ford
0,5.609832,21.553107,Tue,-0.759525,104.292075,New Mexico,
0,4.481491,21.766118,Tue,-1.810975,92.302718,,mercedes
0,3.492961,17.750004,Mon,-0.152729,123.234321,New York,chevrolet
0,1.421,17.973672,Thursday,1.604915,86.303941,New York,chevrolet
0,-1.009362,20.308279,Sunday,-0.613801,102.230455,,subaru
0,4.884788,17.190769,Wednesday,-2.191243,88.523376,Iowa,chevrolet
0,3.223928,19.556335,Wednesday,-0.318044,101.594403,Florida,toyota
0,4.001709,20.131976,Friday,-0.553308,106.217058,,ford
0,4.014368,17.361227,Sat,1.84587,122.642878,,
0,2.463237,20.282607,Monday,-1.121907,83.991127,,chevrolet
0,3.460554,17.534843,Wednesday,1.688954,102.020234,Utah,ford
0,0.774846,19.778799,Tue,-0.676801,147.307183,Ohio,
0,5.372604,20.6138,Wed,1.887007,82.04064,Kentucky,
0,5.726173,21.065774,Tuesday,,140.490079,Florida,buick
1,3.875938,20.383912,Tue,1.390167,84.260781,Massachusetts,
0,1.284534,17.197565,Friday,-0.268769,88.610972,,subaru
0,3.606685,20.531476,Wed,-1.206807,113.97278,Texas,subaru
0,3.404283,15.985848,Wed,1.955965,88.656342,Arizona,toyota
0,1.954558,18.937474,Friday,-0.446345,98.887221,California,subaru
0,2.464105,19.524073,Saturday,0.614228,118.729942,Michigan,nissan
0,3.611733,20.692359,Mon,-2.057623,95.197686,Michigan,
0,0.510677,17.810335,Tuesday,-3.54966,82.790595,DC,ford
0,1.625802,19.149116,Tue,-1.004243,98.78291,Michigan,chevrolet
0,1.386778,20.66766,Saturday,-0.168671,114.642292,,chevrolet
0,1.290454,20.554902,Tue,0.201689,76.311624,New York,buick
0,5.448183,18.794656,Tuesday,2.507396,88.585673,Ohio,chevrolet
0,-1.563774,22.54086,Thursday,-0.95559,101.853083,Arizona,
0,-0.182254,17.818738,Sat,-1.442123,100.561818,Georgia,mercedes
0,4.738895,18.372877,Thur,-0.782805,100.950917,New York,mercedes
0,3.787903,19.299985,Tue,-0.246242,96.78903,New York,ford
0,0.452376,19.510348,Sat,-0.935844,,Oregon,toyota
0,5.088284,17.446351,Thur,-2.48794,117.783606,Ohio,
0,4.919277,20.270192,Wednesday,0.328274,86.549482,Florida,subaru
0,2.289718,17.956426,Fri,0.840905,101.578029,Minnesota,
0,2.249481,17.528133,Wednesday,1.524269,103.437309,Oregon,toyota
0,3.079195,19.701521,Fri,1.72651,120.12837,New Mexico,subaru
0,1.918345,17.04058,Thursday,2.649059,,Iowa,
0,0.655726,19.852735,Thur,3.735954,103.13782,,
0,0.604115,20.435351,Saturday,0.834105,91.696016,Massachusetts,mercedes
0,4.756267,21.285227,Friday,1.930239,84.071902,Alabama,chevrolet
0,4.986931,21.695705,Wednesday,0.36403,74.456416,Michigan,toyota
1,3.224895,24.136472,Mon,-1.215966,72.759898,,
0,1.880385,20.294667,Wednesday,0.941068,100.755143,Texas,ford
1,6.182966,19.258426,Thur,,82.190365,New Hampshire,nissan
0,3.354232,20.897326,Wednesday,0.499747,111.313831,,ford
0,-0.63649,20.216141,Tuesday,-1.129758,95.207033,Minnesota,subaru
0,1.150374,21.569966,Wednesday,0.091136,92.742941,Alabama,toyota
0,2.328566,16.924609,Tue,-3.23098,94.251819,Minnesota,
0,2.485349,20.449781,Wednesday,-1.285374,104.056035,Maine,mercedes
0,1.172703,21.897579,Saturday,-0.045957,108.935293,Pennsylvania,ford
1,3.443547,18.983405,Fri,1.243206,99.565394,,chevrolet
0,4.389851,20.923261,Saturday,-2.011564,95.760887,Missouri,
0,5.443536,19.485777,Mon,0.136284,79.12256,Pennsylvania,mercedes
0,1.179356,16.43357,Friday,-0.10996,89.216855,Texas,
0,2.819562,20.080776,Tue,0.838502,102.57151,Oklahoma,
0,2.650635,19.687715,Monday,-0.088832,88.153592,Colorado,subaru
0,2.356799,19.097857,Fri,,94.059141,South Dakota,
0,4.22566,15.904345,Monday,1.664436,97.035089,Mississippi,
0,3.323687,19.236084,Wed,-0.753594,106.217773,Kansas,toyota
0,4.726027,16.880582,Sun,1.267932,93.048231,,ford
1,6.579648,18.44698,Friday,-2.001682,79.33261,Georgia,nissan
1,0.101602,17.974807,Sun,-0.253978,134.916402,Oklahoma,toyota
0,3.337181,23.386898,Sunday,-0.05996,96.151802,Pennsylvania,toyota
0,5.530591,19.824368,Tuesday,0.64127,85.00695,,
0,3.874267,17.903086,Friday,0.010626,,Georgia,chevrolet
0,5.257301,23.779174,Friday,-3.321889,111.910646,,toyota
0,0.849681,19.739574,Fri,1.746209,91.187751,Virginia,
0,0.275328,19.678736,Saturday,-0.894323,123.795275,Arizona,ford
0,0.332668,19.711671,Tue,-1.932566,97.623004,California,
0,0.788679,20.352731,Monday,0.305372,112.21755,,subaru
0,0.297312,20.595423,Saturday,0.81592,109.431935,,nissan
0,5.753108,18.670725,Wednesday,-2.572316,107.067643,New Jersey,chevrolet
0,0.723093,19.403053,Monday,1.496349,97.307368,Wyoming,ford
0,1.635917,18.522372,Tue,-2.147689,101.363897,Nevada,
1,2.653636,19.90848,Thur,-3.179663,111.808705,Virginia,ford
0,5.510657,20.919975,Tuesday,0.891765,98.33649,,
0,3.409119,18.000629,Wed,-0.754046,117.583782,West Virginia,
0,3.293653,17.914396,Friday,-2.984984,,New Mexico,
0,0.691954,17.899911,Saturday,-2.011462,94.252296,Indiana,subaru
0,5.570214,18.304397,Tuesday,0.837241,85.211585,Arkansas,subaru
0,2.613909,19.905584,Wednesday,-0.886319,98.41913,Massachusetts,
0,4.326686,16.126483,Monday,1.726388,95.392451,California,ford
0,2.334059,20.470189,Sat,,,Colorado,nissan
0,4.91851,18.874796,Monday,1.883196,136.329702,Arizona,toyota
0,3.728099,23.325375,Friday,1.759153,89.736988,California,
0,3.572603,18.040168,Wednesday,-2.110073,121.859746,Illinois,nissan
0,2.784029,18.361883,Wednesday,0.518245,91.188767,Colorado,chevrolet
0,5.101203,19.54878,Sunday,1.027263,119.152449,California,subaru
0,3.161893,20.128757,Saturday,-1.58049,,,ford
